Title,Authors,Book Type,Original Price,Discounted Price,ISBN-10,Published Date,Publisher,No. of Pages,URL
The Murder Room,P. D. James,eBook,14.29,12.99,"9780571247035
",4 September 2008,Faber & Faber,320 Pages,https://www.booktopia.com.au/star-trek-diane-duane/ebook/9780571247035.html
Thor,Jason Aaron,eBook,13.19,10.99,"9781302013769
",2 April 2014,,ePUB,https://www.booktopia.com.au/star-trek-diane-duane/ebook/9781302013769.html
Fatal Cut,June Hampson,eBook,,11.99,"9781409106968
",16 April 2009,,320 Pages,https://www.booktopia.com.au/star-trek-diane-duane/ebook/9781409106968.html
The Queen and I,Sue Townsend,eBook,,15.99,"9780141938332
",28 November 2002,,288 Pages,https://www.booktopia.com.au/star-trek-diane-duane/ebook/9780141938332.html
,,,,,"9780230760387
",,,,https://www.booktopia.com.au/star-trek-diane-duane/ebook/9780230760387.html
All the Bright Places,Jennifer Niven,eBook,,12.99,"9780141357041
",8 January 2015,,300 Pages,https://www.booktopia.com.au/star-trek-diane-duane/ebook/9780141357041.html
The Prize,Julie Garwood,eBook,17.14,13.99,"9781101533475
",5 July 2011,,1 Pages,https://www.booktopia.com.au/star-trek-diane-duane/ebook/9781101533475.html
Born Fearless,Phil Campion,eBook,,12.99,"9780857384416
",Edition Number 1,,352 Pages,https://www.booktopia.com.au/star-trek-diane-duane/ebook/9780857384416.html
Alone in Berlin,Hans Fallada,eBook,,15.99,"9780141908731
",28 January 2010,,608 Pages,https://www.booktopia.com.au/star-trek-diane-duane/ebook/9780141908731.html
The Wicked King,Holly Black,eBook,,,"9780316310338
",8 January 2019,12 - 99 years old,,https://www.booktopia.com.au/star-trek-diane-duane/ebook/9780316310338.html
Exit West,Mohsin Hamid,eBook,,15.99,"9780241979075
",2 March 2017,,240 Pages,https://www.booktopia.com.au/star-trek-diane-duane/ebook/9780241979075.html
Let's Explore Diabetes With Owls,David Sedaris,eBook,,12.99,"9780748123056
",23 April 2013,,288 Pages,https://www.booktopia.com.au/star-trek-diane-duane/ebook/9780748123056.html
Night Watch,Terry Pratchett,eBook,,15.99,"9781407035321
",1 December 2009,,480 Pages,https://www.booktopia.com.au/star-trek-diane-duane/ebook/9781407035321.html
Safe Haven,Nicholas Sparks,eBook,,11.99,"9780748122660
",2 September 2010,,320 Pages,https://www.booktopia.com.au/star-trek-diane-duane/ebook/9780748122660.html
The Autobiography of Saint Therese,John Beevers,eBook,22.01,17.99,"9780307778086
",26 January 2011,,ePUB,https://www.booktopia.com.au/star-trek-diane-duane/ebook/9780307778086.html
The Bhagavad Gita,Laurie L. Patton,eBook,,14.99,"9780141396217
",1 May 2014,,288 Pages,https://www.booktopia.com.au/star-trek-diane-duane/ebook/9780141396217.html
My Mother's Secret,J.L. Witterick,eBook,23.99,19.99,"9780698151529
",Edition Number 1,,208 Pages,https://www.booktopia.com.au/star-trek-diane-duane/ebook/9780698151529.html
The Language Instinct,Steven Pinker,eBook,,16.99,"9780141929682
",27 February 2003,,496 Pages,https://www.booktopia.com.au/star-trek-diane-duane/ebook/9780141929682.html
The Spy and the Traitor,Ben Macintyre,Hardcover,,,"9781101904190
",18 September 2018,,,https://www.booktopia.com.au/star-trek-diane-duane/ebook/9781101904190.html
Ancillary Sword,Ann Leckie,eBook,,11.99,"9781405525855
",7 October 2014,"Little, Brown Book Group",384 Pages,https://www.booktopia.com.au/star-trek-diane-duane/ebook/9781405525855.html
Harriet Tubman,Catherine Clinton,eBook,,21.99,"9780759509771
",2 February 2004,,300 Pages,https://www.booktopia.com.au/star-trek-diane-duane/ebook/9780759509771.html
The Art of Statistics,David Spiegelhalter,eBook,,15.99,"9780241258750
",28 March 2019,,256 Pages,https://www.booktopia.com.au/star-trek-diane-duane/ebook/9780241258750.html
Healing Back Pain,John E. Sarno,eBook,,12.99,"9780759520844
",15 March 2001,,300 Pages,https://www.booktopia.com.au/star-trek-diane-duane/ebook/9780759520844.html
